modified a workflow state,modificou uma etapa
Add Row to Section,Adicionar Linha à Seção
Remove Column Layouts,Remover Layouts de Coluna
Remove Column Layout,Remover Layout de Coluna
Remove Section,Remover Seção
Add Column Layout Above,Adicionar Layout de Coluna Acima
Add Column Layout Below,Adicionar Layout de Coluna Abaixo
Add Column Layout,Adicionar Layout de Coluna
Add Section Above,Adicionar Seção Acima
Add Section Below,Adicionar Seção Abaixo
Add Section,Adicionar Seção
Add Table,Adicionar Tabela
Remove Table,Remover Tabela
Remove Column,Remover Coluna
Remove Row,Remover Linha
Add Column After,Adicionar Coluna Depois
Add Column Before,Adicionar Coluna Antes
Add Column,Adicionar Coluna
Add Row Above,Adicionar Linha Acima
Add Row Below,Adicionar Linha Abaixo
Add Row,Adicionar Linha
Add field,Adicionar campo
Service Protocol Smart Energy Manager,Checklist do Smart Energy Manager
Service Protocol Smart Meter Checklist,Checklist do Smart Meter
Service Protocol EV Charger Checklist,Checklist do EV Charger
Service Protocol Battery Checklist,Checklist da Bateria
Service Protocol Inverter Checklist,Checklist do Inversor
Service Protocol,Protocolo de Serviço
Toggle Theme,Alternar Tema
Top,Topo
Bottom,Inferior
Published on,Publicado Em
West Bengal,Bengala Ocidental
Uttarakhand,Uttarakhand
Uttar Pradesh,Uttar Pradesh
Tripura,Tripura
Telangana,Telangana
Tamil Nadu,Tamil Nadu
Sikkim,Sikkim
Rajasthan,Rajasthan
Punjab,Punjab
Pondicherry,Pondicherry
Other Territory,Outro Território
Odisha,Odisha
Nagaland,Nagaland
Mizoram,Mizoram
Meghalaya,Meghalaya
Manipur,Manipur
Maharashtra,Maharashtra
Madhya Pradesh,Madhya Pradesh
Lakshadweep Islands,Ilhas Lakshadweep
Kerala,Kerala
Karnataka,Karnataka
Jharkhand,Jharkhand
Jammu and Kashmir,Jammu e Caxemira
Himachal Pradesh,Himachal Pradesh
Haryana,Haryana
Gujarat,Gujarat
Goa,Goa
Delhi,Délhi
Daman and Diu,Damão e Diu
Dadra and Nagar Haveli,Dadra e Nagar Haveli
Chhattisgarh,Chhattisgarh
Chandigarh,Chandigarh
Bihar,Bihar
Assam,Assam
Arunachal Pradesh,Arunachal Pradesh
Andhra Pradesh,Andhra Pradesh
Andaman and Nicobar Islands,Ilhas Andaman e Nicobar
Validation Error,Erro de Validação
Update Series Number,Atualizar Números de Séries
This is the number of the last created transaction with this prefix,Este é o número da última transação criada com este prefixo
Prefix,Prefixo
Check this if you want to force the user to select a series before saving. There will be no default if you check this.,Marque esta opção se você deseja forçar o usuário a selecionar uma série antes de salvar. Não haverá nenhum padrão se você marcar isso.
User must always select,O Usuário deve sempre selecionar
Series List for this Transaction,Lista de séries para esta transação
Help HTML,Ajuda HTML
Select Transaction,Selecione a Transação
Reference DocType,DocType de Referência
Steps,Passos
Request Data,Solicitar Dados
Public Transport,Transporte Público
Topic,Tópico
Crop,Colheita
Position,Posição
User Id,ID do Usuário
Not Found,Não Encontrado
Comment,Comentar
Center,Centro
Bold,Negrito
{0} Name,{0} Nome
You,Você
Update Details,Detalhes da Atualização
Setup Wizard,Assistente de Configuração
Set,Definir
Select All,Selecionar Tudo
Refreshing,Atualizando
Publish,Publicar
Printing,Impressão
Newsletter,Newsletter
Invite as User,Convidar Como Usuário
File Manager,Gestor de Arquivos
Edit Profile,Editar Perfil
Customize,Personalizar
Back to Home,Retornar ao Início
Webhook Secret,Segredo do Webhook
Last Sync On,Última sincronização em
Export Type,Tipo de Exportação
"Special Characters except '-', '#', '.', '/', '{{' and '}}' not allowed in naming series {0}","Caracteres especiais, exceto &quot;-&quot;, &quot;#&quot;, &quot;.&quot;, &quot;/&quot;, &quot;{{&quot; e &quot;}}&quot; não permitidos na série de nomenclatura {0}"
There is some problem with the file url: {0},Há algum problema com a url do arquivo: {0}
Subsidiary,Subsidiário
Shop,Loja
Previous,Anterior
Postal,Postal
Plant,Fábrica
Permanent,Permanente
Passive,Passivo
Office,Escritório
Images,Imagens
County,Distrito
You need to be logged in to access this page,Você precisa estar logado para acessar esta página
Workflow,Fluxo de Trabalho
Weekdays,Dias da Semana
Unable to find DocType {0},Não foi possível encontrar DocType {0}
Traceback,Traceback
Test,Teste
Standard,Padrão
Shipping,Expedição
Set as Default,Definir Como Padrão
Series {0} already used in {1},Série {0} já usado em {1}
Saved,Salvo
Sample,Amostra
Report Builder,Criador de Relatório
Region,Região
Reference Owner,Proprietário de Referência
Portal Settings,Configurações do Portal
Please set the series to be used.,Por favor defina a série a ser usada.
Please set Email Address,Por Favor Defina o Endereço de Email
Please select prefix first,Por favor selecione o prefixo primeiro
Pincode,Pincode
Password,Senha
Newsletters,Newsletters
My Account,Minha Conta
Meeting,Reunião
Log,Registo
Limit,Limite
License,Licença
Language Name,Nome do Idioma
Interests,Juros
Insert,Inserir
Full,Cheio
Event,Evento
Enable,Permitir
Datetime,Data e Hora
Contact Details,Detalhes do Contato
Billing,Faturamento
Basic,Básico
Author,Autor
Anonymous,Anônimo
Analytics,Análise
Add Row,Adicionar Linha
Message from server: {0},Mensagem do servidor: {0}
Authentication failed while receiving emails from Email Account: {0}.,Falha na autenticação ao receber e-mails da conta de e-mail: {0}.
Negative Value,Valor Negativo
Value cannot be negative for {0}: {1},O valor não pode ser negativo para {0}: {1}
Value cannot be negative for,O valor não pode ser negativo para
Dismiss,Dispensar
Skip,Pular
Add Filters,Adicionar Filtros
Function Based On,Função baseada em
Number Cards,Cartões numéricos
Choose Existing Card or create New Card,Escolha o cartão existente ou crie um novo cartão
For Example: {} Open,Por exemplo: {} aberto
Count Customizations,Personalizações de contagem
Loading Filters...,Carregando filtros ...
Align Right,Alinhar à direita
Open URL in a New Tab,Abrir URL em uma nova guia
Rules with higher priority number will be applied first.,Regras com número de prioridade mais alta serão aplicadas primeiro.
Non Negative,Não Negativo
Default for 'Check' type of field {0} must be either '0' or '1',Padrão para &#39;Verificar&#39; o tipo de campo {0} deve ser &#39;0&#39; ou &#39;1&#39;
Event Producer Last Update,Última atualização do produtor de eventos
Cannot edit filters for standard charts,Não é possível editar filtros para gráficos padrão
For DocType Link / DocType Action,Para DocType Link / DocType Action
Row Name,Nome da Linha
Applied On,Aplicado em
Cannot delete standard action. You can hide it if you want,Não é possível excluir a ação padrão. Você pode esconder se quiser
Cannot delete standard link. You can hide it if you want,Não é possível excluir o link padrão. Você pode esconder se quiser
List Settings,Configurações de Lista
Document Links,Links de documentos
Document Actions,Ações do Documento
State/Province,Estado / Província
Log cleanup and notification configuration,Limpeza de registro e configuração de notificação
You have unseen {0},Você não viu {0}
You are not allowed to delete Standard Report,Você não tem permissão para excluir o relatório padrão
Incorrect Configuration,Configuração Incorreta
Incorrect email or password. Please check your login credentials.,Senha ou email incorretos. Verifique suas credenciais de login.
Google Analytics Anonymize IP,IP anônimo do Google Analytics
Please save to edit the template.,Salve para editar o modelo.
Clear Email Queue After,Limpar fila de e-mail após
Clear Activity Log After,Limpar log de atividades depois
Clear Error log After,Limpar log de erros após
Log Cleanup,Limpeza de Log
Users To Notify,Usuários para notificar
Error Log Notification,Notificação de log de erros
Log Settings,Configurações de registro
Log Setting User,Usuário de configuração de log
Assign to the user set in this field,Atribuir ao usuário definido neste campo
Based on Field,Com base no campo
via Assignment Rule,via regra de atribuição
{0} is not a valid DocType for Dynamic Link,{0} não é um DocType válido para Dynamic Link
Currently you have {0} review points,Atualmente você tem {0} pontos de revisão
Add a {0} Chart,Adicionar um {0} gráfico
{0}: {1} vs {2},{0}: {1} vs {2}
Are you sure you want to generate a new report?,Tem certeza de que deseja gerar um novo relatório?
There are {0} with the same filters already in the queue:,Existem {0} com os mesmos filtros já na fila:
There is {0} with the same filters already in the queue:,Há {0} com os mesmos filtros já na fila:
{0} Reports,{0} Relatórios
"Invalid ""depends_on"" expression set in filter {0}",Expressão &quot;depends_on&quot; inválida definida no filtro {0}
New {0} Created,Novo {0} criado
New {0} {1} created,Novo {0} {1} criado
New {0} {1} added to Dashboard {2},Novo {0} {1} adicionado ao Dashboard {2}
Reports & Masters,Relatórios e Cadastros
Let's Get Started,Vamos começar
Invalid filter: {0},Filtro inválido: {0}
Camera,Câmera
Not permitted to view {0},Não tem permissão para ver {0}
Set Filters for {0},Definir filtros para {0}
{0} {1} added to Dashboard {2},{0} {1} adicionado ao Dashboard {2}
Invalid expression set in filter {0},Expressão inválida definida no filtro {0}
Invalid expression set in filter {0} ({1}),Expressão inválida definida no filtro {0} ({1})
Monthly Rank:,Classificação Mensal:
Rank:,Classificação:
Review Points:,Pontos de revisão:
Energy Points:,Pontos de energia:
Save Anyway,Salvar assim mesmo
Worflow States Don't Exist,Estados de Worflow não existem
There are documents which have workflow states that do not exist in this Workflow. It is recommended that you add these states to the Workflow and change their states before removing these states.,Existem documentos com estados de fluxo de trabalho que não existem neste fluxo de trabalho. É recomendável adicionar esses estados ao fluxo de trabalho e alterar seus estados antes de removê-los.
"Report has no numeric fields, please change the Report Name","O relatório não tem campos numéricos, altere o nome do relatório"
New module created {0},Novo módulo criado em {0}
Value from this field will be set as the due date in the ToDo,O valor deste campo será definido como a data de vencimento no ToDo
Hide Traceback,Esconder Traceback
There was an error building this page,Ocorreu um erro ao construir esta página
Uncaught Server Exception,Exceção de servidor não detectado
Print UOM after Quantity,Imprimir UOM após a quantidade
Invalid Credentials,Credenciais inválidas
Your assignment on {0} {1} has been removed by {2},Sua tarefa em {0} {1} foi removida por {2}
Already in the following Users ToDo list:{0},Já está na seguinte lista de tarefas de usuários: {0}
Shared with the following Users with Read access:{0},Compartilhado com os seguintes usuários com acesso de leitura: {0}
Please set the following documents in this Dashboard as standard first.,Defina os seguintes documentos neste Dashboard como padrão primeiro.
Standard Not Set,Padrão não definido
Invalid JSON in card links for {0},JSON inválido em links de cartão para {0}
Invalid json added in the custom options: {0},JSON inválido adicionado nas opções personalizadas: {0}
You cannot create a dashboard chart from single DocTypes,Você não pode criar um gráfico de Dashboard de DocTypes únicos
Energy Point Update on {0},Atualização do Energy Point em {0}
New Document Shared {0},Novo documento compartilhado {0}
Assignment Update on {0},Atualização de atribuição em {0}
New Mention on {0},Nova menção em {0}
Thank you for your feedback!,Obrigado pelo seu feedback!
Was this article helpful?,Esse artigo foi útil?
Enable developer mode to create a standard Web Template,Habilite o modo de desenvolvedor para criar um modelo da Web padrão
Published on,Publicado em
Load More,Carregue mais
A featured post must have a cover image,Uma postagem em destaque deve ter uma imagem de capa
Twilio WhatsApp Message Error,Twilio WhatsApp Message Error
Delivery Failed,Falha na entrega
Please enable twilio settings before sending WhatsApp messages,Ative as configurações do twilio antes de enviar mensagens do WhatsApp
Invalid Account SID or Auth Token.,SID de conta ou token de autenticação inválido.
Please select another payment method. Paytm does not support transactions in currency '{0}',Selecione outro método de pagamento. Paytm não suporta transações na moeda &#39;{0}&#39;
"Sync token was invalid and has been resetted, Retry syncing.",O token de sincronização era inválido e foi redefinido. Tente sincronizar novamente.
Google Drive - Could not locate - {0},Google Drive - Não foi possível localizar - {0}
Razorpay Signature Verification Failed,Falha na verificação da assinatura Razorpay
"Company, Fiscal Year and Currency defaults","Padrões da empresa, ano fiscal e moeda"
Paytm payment gateway settings,Configurações de gateway de pagamento Paytm
Row #{0}: Please set remote value filters for the field {1} to fetch the unique remote dependency document,Linha nº {0}: Defina filtros de valor remoto para o campo {1} para buscar o documento de dependência remota exclusivo
Row #{0}: Please set Mapping or Default Value for the field {1} since its a dependency field,"Linha nº {0}: Defina o mapeamento ou valor padrão para o campo {1}, pois é um campo de dependência"
Row #{0}: Invalid Local Fieldname,Linha # {0}: Nome de campo local inválido
Event Subscriber has to be a System Manager.,O Assinante do Evento deve ser um Gerente do Sistema.
User {0} not found on the producer site,Usuário {0} não encontrado no site do produtor
Please set API Key and Secret on the producer and consumer sites first.,Defina a chave e o segredo da API nos sites do produtor e do consumidor primeiro.
Please generate keys for the Event Subscriber User {0} first.,Gere as chaves para o Usuário Assinante do Evento {0} primeiro.
Error Attaching File,Erro ao anexar arquivo
{0} is not a valid file url,{0} não é um url de arquivo válido
File name cannot have {0},O nome do arquivo não pode ter {0}
DocType's name should not start or end with whitespace,O nome de DocType não deve começar ou terminar com um espaço em branco
Please hide the standard navbar items instead of deleting them,Oculte os itens padrão da barra de navegação em vez de excluí-los
You have reached the hourly limit for generating password reset links. Please try again later.,"Você atingiu o limite de hora para gerar links de redefinição de senha. Por favor, tente novamente mais tarde."
The column {0} has {1} different date formats. Automatically setting {2} as the default format as it is the most common. Please change other values in this column to this format.,"A coluna {0} possui {1} formatos de data diferentes. Definindo automaticamente {2} como o formato padrão, pois é o mais comum. Por favor, altere outros valores nesta coluna para este formato."
Skipping Duplicate Column {0},Ignorando coluna duplicada {0}
Could not map column {0} to field {1},Não foi possível mapear a coluna {0} para o campo {1}
{0} is a mandatory field asdadsf,{0} é um campo obrigatório asdadsf
Value {0} must in {1} format,O valor {0} deve estar no formato {1}
Invalid or corrupted content for import,Conteúdo inválido ou corrompido para importação
Invalid template file for import,Arquivo de modelo inválido para importação
{function} of {fieldlabel},{função} de {fieldlabel}
Restoring Deleted Document,Restaurando Documento Excluído
Document {0} Already Restored,Documento {0} já restaurado
Please add a valid comment.,"Por favor, adicione um comentário válido."
Hourly comment limit reached for: {0},Limite de comentários por hora atingido para: {0}
The comment cannot be empty,O comentário não pode estar vazio
Open Document,Documento Aberto
Signups have been disabled for this website.,As inscrições foram desativadas para este site.
Signup Disabled,Inscrição Desativada
"Not allowed to attach {0} document, please enable Allow Print For {0} in Print Settings","Não tem permissão para anexar documento {0}, ative Permitir impressão para {0} nas configurações de impressão"
Please enable Twilio settings to send WhatsApp messages,Ative as configurações do Twilio para enviar mensagens do WhatsApp
Newsletter should have at least one recipient,O boletim deve ter pelo menos um destinatário
Email queued to {0} recipients,Email na fila para {0} destinatários
Test email sent to {0},Email de teste enviado para {0}
Failed to send {0} Auto Email Report,Falha ao enviar {0} relatório de e-mail automático
Custom Field {0} is created by the Administrator and can only be deleted through the Administrator account.,O campo personalizado {0} é criado pelo administrador e só pode ser excluído por meio da conta do administrador.
A field with the name '{}' already exists in doctype {}.,Já existe um campo com o nome &#39;{}&#39; em doctype {}.
Wrong Fetch From value,Valor errado de busca
"Please check the value of ""Fetch From"" set for field {0}",Verifique o valor de &quot;Buscar de&quot; definido para o campo {0}
Duplicate Name,Nome duplicado
{0} is not a valid Google Sheets URL,&quot;{0}&quot; não é um URL válido do Planilhas Google
Incorrect URL,URL incorreto
"Google Sheets URL must end with ""gid={number}"". Copy and paste the URL from the browser address bar and try again.",O URL do Planilhas Google deve terminar com &quot;gid = {número}&quot;. Copie e cole o URL da barra de endereço do navegador e tente novamente.
Google Sheets URL is invalid or not publicly accessible.,O URL do Planilhas Google é inválido ou não está acessível publicamente.
Value {0} must be in the valid duration format: d h m s,O valor {0} deve estar no formato de duração válido: dhms
Please select a valid date filter,Selecione um filtro de data válido
Invalid Date,Data inválida
{} is not a valid date string.,{} não é uma string de data válida.
"Invalid Authorization Type {0}, must be one of {1}.","Tipo de autorização inválido {0}, deve ser um de {1}."
"Invalid Authorization headers, add a token with a prefix from one of the following: {0}.","Cabeçalhos de autorização inválidos, adicione um token com um prefixo de um dos seguintes: {0}."
Too Many Requests,Muitos pedidos
Change,Troco
created {0},criado em {0}
Currently Replying,Atualmente respondendo
{0} are currently {1},{0} são atualmente {1}
{0} is currently {1},{0} atualmente é {1}
Add to ToDo,Adicionar ao ToDo
"This document is already amended, you cannot ammend it again","Este documento já foi alterado, você não pode alterá-lo novamente"
Select Fields To Update,Selecione os campos para atualizar
Select Fields To Insert,Selecione os campos para inserir
{0} ({1}) (1 row mandatory),{0} ({1}) (1 linha obrigatória)
1 Report,1 relatório
Delete and Generate New,Excluir e gerar novo
Proceed Anyway,Continue mesmo assim
Reports already in Queue,Relatórios já na Fila
Card Label,Etiqueta do cartão
Create Card,Criar cartão
Tree view is not available for {0},A visualização em árvore não está disponível para {0}
Warning: Unable to find {0} in any table related to {1},Aviso: Não foi possível encontrar {0} em nenhuma tabela relacionada a {1}
Select Fields,Selecione os campos
Reset Fields,Limpar campos
{0} Fields,{0} campos
{0} Settings,{0} Configurações
Onboarding Complete,Integração completa
You seem good to go!,Você parece bom para ir!
You may continue with onboarding,Você pode continuar com a integração
Great,Ótimo
Submit this document to complete this step.,Envie este documento para concluir esta etapa.
Good Work 🎉,Bom trabalho 🎉
"You're doing great, let's take you back to the onboarding page.","Você está indo muito bem, vamos levá-lo de volta à página de integração."
Skip Step,Pular etapa
Oops,Opa
Looks like you didn't change the value,Parece que você não alterou o valor
Looks Great,Parece ótimo
Great Job,Bom trabalho
Let's take you back to onboarding,Vamos levá-lo de volta à integração
Go Back,Volte
Unknown View,Vista Desconhecida
Not a valid DocType view:,Não é uma visualização válida de DocType:
Less,Menos
s,s
m,m
h,h
d,d
Website Analytics,Análise do site
"Level 0 is for document level permissions, higher levels for field level permissions.","O nível 0 é para permissões de nível de documento, níveis mais altos para permissões de nível de campo."
Refresh All,Atualize tudo
Are you sure you want to save this document?,Tem certeza que deseja salvar este documento?
Website Theme Ignore App,Aplicativo para ignorar tema do site
Include Theme from Apps,Incluir tema de aplicativos
Ignored Apps,Aplicativos ignorados
Custom Overrides,Substituições personalizadas
URL to go to on clicking the slideshow image,URL para acessar ao clicar na imagem da apresentação de slides
Check this if you don't want users to sign up for an account on your site. Users won't get desk access unless you explicitly provide it.,Marque esta opção se não quiser que os usuários se inscrevam em uma conta no seu site. Os usuários não terão acesso à mesa a menos que você o forneça explicitamente.
Disable Signup for your site,Desativar inscrição para seu site
"Checking this will enable tracking page views for blogs, web pages, etc.","Marcar isso permitirá o rastreamento de visualizações de páginas de blogs, páginas da web, etc."
Enable Tracking Page Views,Ativar rastreamento de visualizações de página
Footer Template Values,Valores de modelo de rodapé
Footer Template,Modelo de rodapé
Footer Logo,Logotipo do rodapé
Call To Action URL,URL de apelo à ação
Call To Action,Apelo à ação
Navbar Template Values,Valores de modelo de Navbar
Navbar Template,Modelo Navbar
Hide Login,Ocultar login
Table Break,Pausa para a mesa
User Agent,Agente de usuário
Is Unique,É único
Add Space on Bottom,Adicionar espaço na parte inferior
Add Space on Top,Adicionar espaço no topo
"The meta image is unique image representing the content of the page. Images for this Card should be at least 280px in width, and at least 150px in height.",A meta imagem é uma imagem única que representa o conteúdo da página. As imagens para este cartão devem ter pelo menos 280 px de largura e pelo menos 150 px de altura.
"The meta description is an HTML attribute that provides a brief summary of a web page. Search engines such as Google often display the meta description in search results, which can influence click-through rates.","A meta descrição é um atributo HTML que fornece um breve resumo de uma página da web. Mecanismos de pesquisa como o Google geralmente exibem a meta descrição nos resultados da pesquisa, o que pode influenciar as taxas de cliques."
"By default the title is used as meta title, adding a value here will override it.","Por padrão, o título é usado como meta título, adicionar um valor aqui irá substituí-lo."
Meta title for SEO,Meta título para SEO
Checking this will show a text area where you can write custom javascript that will run on this page.,Marcar isto irá mostrar uma área de texto onde você pode escrever um javascript personalizado que será executado nesta página.
Frappe page builder using components,Construtor de páginas Frappe usando componentes
HTML with jinja support,HTML com suporte jinja
Github flavoured markdown syntax,Sintaxe de marcação com sabor de Github
Standard rich text editor with controls,Editor de rich text padrão com controles
"You can select one from the following,","Você pode selecionar um dos seguintes,"
Content type for building the page,Tipo de conteúdo para construir a página
"This will be automatically generated when you publish the page, you can also enter a route yourself if you wish","Isso será gerado automaticamente quando você publicar a página, você também pode inserir uma rota se desejar"
URL of the page,URL da página
Checking this will publish the page on your website and it'll be visible to everyone.,Marcar isso publicará a página em seu site e ficará visível para todos.
Makes the page public,Torna a página pública
This title will be used as the title of the webpage as well as in meta tags,"Este título será usado como o título da página da web, bem como nas metatags"
Title of the page,Título da página
"Set context before rendering a template. Example:\n\ncontext.project = frappe.get_doc(""Project"", frappe.form_dict.name)\n","<p>Defina o contexto antes de renderizar um modelo. Exemplo:</p><p></p><div><pre> <code>context.project = frappe.get_doc(&quot;Project&quot;, frappe.form_dict.name)</code></pre></div>"
Context Script,Script de Contexto
Map route parameters into form variables. Example /project/&lt;name&gt;,Mapeie os parâmetros da rota em variáveis de formulário. Exemplo <code>/project/&lt;name&gt;</code>
Dynamic Route,Rota Dinâmica
For help see Client Script API and Examples,"Para obter ajuda, consulte <a href=""https://frappeframework.com/docs/user/en/guides/portal-development/web-forms"" target=""_blank"">Client Script API e exemplos</a>"
Apply Document Permissions,Aplicar permissões de documento
"If Icon is set, it will be shown instead of Label","Se o ícone estiver definido, ele será mostrado em vez do rótulo"
twitter,Twitter
linkedin,LinkedIn
facebook,Facebook
Social Link Type,Tipo de Link Social
Social Link Settings,Configurações de link social
"Example: ""/desk""",Exemplo: &quot;/ desk&quot;
Default Portal Home,Página inicial do portal padrão
CTA URL,URL CTA
CTA Label,Etiqueta CTA
CTA,CTA
Show CTA in Blog,Mostrar CTA no blog
Enable Social Sharing,Ativar compartilhamento social
Meta Title,Meta Título
"Description for listing page, in plain text, only a couple of lines. (max 200 characters)","Descrição da página de listagem, em texto simples, apenas algumas linhas. (máx. 200 caracteres)"
Hide CTA,Ocultar CTA
Featured,Destaque
in minutes,em minutos
Read Time,Tempo de leitura
Auth Token,Token de autenticação
Twilio Settings,Configurações do Twilio
Twilio Number Group,Grupo de números Twilio
me-south-1,me-south-1
eu-south-1,eu-sul-1
ap-east-1,ap-east-1
af-south-1,af-south-1
See https://docs.aws.amazon.com/general/latest/gr/s3.html for details.,Consulte https://docs.aws.amazon.com/general/latest/gr/s3.html para obter detalhes.
Industry Type ID,ID do tipo de indústria
Staging,Staging
Merchant Key,Chave do Comerciante
Paytm Settings,Configurações de Paytm
API Secret of the user(Event Subscriber) on the producer site,Segredo API do usuário (Assinante do Evento) no site do produtor
API Key of the user(Event Subscriber) on the producer site,Chave API do usuário (Assinante do Evento) no site do produtor
Remote Value Filters,Filtros de valor remoto
Child Table,Mesa Infantil
Receiver By Role,Receptor por função
Receiver By Document Field,Receptor por campo de documento
Send To All Assignees,Enviar para todos os cessionários
"If enabled, the notification will show up in the notifications dropdown on the top right corner of the navigation bar.","Se ativada, a notificação aparecerá na lista suspensa de notificações no canto superior direito da barra de navegação."
Send System Notification,Enviar Notificação do Sistema
"To use Slack Channel, add a Slack Webhook URL.","Para usar o Slack Channel, adicione um <a href=""#List/Slack%20Webhook%20URL/List"">URL do Slack Webhook</a> ."
"To use WhatsApp for Business, initialize Twilio Settings.","Para usar o WhatsApp for Business, inicialize as <a href=""#Form/Twilio Settings"">configurações do Twilio</a> ."
Twilio Number,Número Twilio
System Notification,Notificação do sistema
Testing,Testando
Send Attachments,Enviar anexos
Message (HTML),Mensagem (HTML)
Message (Markdown),Mensagem (Markdown)
Schedule Sending,Agendar Envio
Disabled Auto Reply,Resposta automática desativada
Inbox User,Usuário da caixa de entrada
Create Contacts from Incoming Emails,Criar contatos de e-mails recebidos
Execute,Executar
Execute Console script,Executar script de console
Commit,Comprometer
To print output use log(text),"Para imprimir a saída, use o <code>log(text)</code>"
Console,Console
System Console,Console do sistema
Step,Degrau
Onboarding Step Map,Mapa de etapas de integração
Video URL,URL do vídeo
Use % for any non empty value.,Use% para qualquer valor não vazio.
Value to Validate,Valor para Validar
Validate Field,Validar Campo
This will be shown in a modal after routing,Isso será mostrado em um modal após o roteamento
Callback Message,Mensagem de retorno
Callback Title,Título de retorno
Example: #Tree/Account,Exemplo: # árvore / conta
This will be shown to the user in a dialog after routing to the report,Isso será mostrado ao usuário em uma caixa de diálogo após o roteamento para o relatório
Report Description,Descrição do relatório
Report Reference Doctype,Report Reference Doctype
Show full form instead of a quick entry modal,Mostrar o formulário completo em vez de um modal de entrada rápida
Show Full Form?,Mostrar formulário completo?
Watch Video,Assistir vídeo
Go to Page,Vá para página
View Report,Ver relatório
Show Form Tour,Show Form Tour
Update Settings,Atualizar configurações
Create Entry,Criar entrada
Is Skipped,É pulado
Onboarding Step,Etapa de integração
Onboarding Permission,Permissão de integração
Please create Card first,"Por favor, crie o cartão primeiro"
Dynamic Filters Section,Seção de Filtros Dinâmicos
Filters Configuration,Configuração de Filtros
Custom Configuration,Configuração Personalizada
Open Reference Document,Documento de Referência Aberto
Attachment Link,Link de Anexo
Attached File,Arquivo anexo
Document Link,Link do Documento
Alert,Alerta
Is Complete,Está completo
Documentation URL,URL de documentação
System managers are allowed by default,Gerentes de sistema são permitidos por padrão
Module Onboarding,Módulo Onboarding
Maximum Number of Fields,Número Máximo de Campos
List View Settings,Configurações de visualização de lista
Which view of the associated DocType should this shortcut take you to?,Para qual visualização do DocType associado esse atalho deve levar você?
DocType View,Visualização DocType
Checking this will hide custom doctypes and reports cards in Links section,Marcar isto irá esconder doctypes personalizados e cartões de relatórios na seção Links
Hide Custom DocTypes and Reports,Ocultar tipos de documentos e relatórios personalizados
Click to Set Dynamic Filters,Clique para definir filtros dinâmicos
Set Dynamic Filters,Definir Filtros Dinâmicos
Dynamic Filters JSON,Filtros dinâmicos JSON
Dynamic Filters,Filtros Dinâmicos
Heatmap,Mapa de calor
Use Report Chart,Usar gráfico de relatório
"Set Default Options for all charts on this Dashboard (Ex: ""colors"": [""#d1d8dd"", ""#ff5858""])","Defina as opções padrão para todos os gráficos neste Dashboard (Ex: &quot;cores&quot;: [&quot;# d1d8dd&quot;, &quot;# ff5858&quot;])"
Console Log,Log do console
Last Deployed On,Última implantação em
Sites,Sites
Click on the row for accessing filters.,Clique na linha para acessar os filtros.
Package Publish Tool,Ferramenta de publicação de pacotes
Site URL,URL do site
Package Publish Target,Alvo de publicação de pacote
Overwrite,Sobrescrever
Include Attachments,Incluir Anexos
